"","Lat","Long","Site","Type","Date","Jour","Mois","An","Transect","Repetition","Depart_h","Arrive_h","Obs_h","Nom_sientifique","Genus","Spp","Nom_vernaculari","N_ind","N_juv","N_ad","N_m","N_f","Elevation_obs","Angle","Dis","Hauteur","Comportement","Plante","Support","Commentaire","Photo_ID"
"36","-14.51513",49.43276,"Ambodivoara","Nocturnal",2020-12-18,18,12,2020,"2",3,"18H 30M 0S","21H 40M 0S","18H 40M 0S","Avahi_laniger","Avahi","laniger","Fotsife","2",1,1,0,1,1237,75,7,10,"Deplacement","","Rotro(Eugenia emirnense)","Porte bÃƒÂ©bÃƒÂ©","33-50"
"37","-14.51639",49.43286,"Ambodivoara","Nocturnal",2020-12-18,18,12,2020,"2",3,"18H 30M 0S","21H 40M 0S","19H 23M 0S","Microcebus_mittermeieri","Microcebus","mittermeieri","Tsidy","1",0,1,0,0,1250,35,6,5,"Deplacement","","","",""
"38","-14.51658",49.43287,"Ambodivoara","Nocturnal",2020-12-18,18,12,2020,"2",3,"18H 30M 0S","21H 40M 0S","19H 34M 0S","Cheirogaleus_crossleyi","Cheirogaleus","crossleyi",NA,"1",0,1,0,0,1229,70,10,15,"Deplacement","","fandragna","","28-29"
"39","-14.51658",49.43287,"Ambodivoara","Nocturnal",2020-12-18,18,12,2020,"2",3,"18H 30M 0S","21H 40M 0S","19H 34M 0S","Cheirogaleus_crossleyi","Cheirogaleus","crossleyi",NA,"1",0,1,0,0,1229,80,25,30,"Deplacement","","Tavolo(Cryptocarya acuminata)","",""
"40","-14.5169",49.43286,"Ambodivoara","Nocturnal",2020-12-18,18,12,2020,"2",3,"18H 30M 0S","21H 40M 0S","19H 50M 0S","Cheirogaleus_crossleyi","Cheirogaleus","crossleyi",NA,"1",0,1,0,0,1205,40,25,20,"Deplacement","","","",""
"41","0",49.43288,"Ambodivoara","Nocturnal",2020-12-18,18,12,2020,"2",3,"18H 30M 0S","21H 40M 0S","20H 0M 0S","Lepilemur_seali","Lepilemur","seali",NA,"1",0,1,0,0,1208,50,12,15,"Repos","","Azombato(Antidesma madagascariensis)","","50-51"
"42","-14.51754",49.43292,"Ambodivoara","Nocturnal",2020-12-18,18,12,2020,"2",3,"18H 30M 0S","21H 40M 0S","20H 20M 0S","Cheirogaleus_crossleyi","Cheirogaleus","crossleyi",NA,"1",0,1,0,0,1180,45,20,27,"Alimentation","Rotro ala(Syzygium emirnense)","Rotro ala(Syzygium emirnense)","",""
"43","-14.5183",49.43334,"Ambodivoara","Nocturnal",2020-12-18,18,12,2020,"2",3,"18H 30M 0S","21H 40M 0S","20H 40M 0S","Cheirogaleus_crossleyi","Cheirogaleus","crossleyi",NA,"1",0,1,0,0,1146,70,25,32,"Alimentation","","","",""
"44","-14.51821",49.42974,"Ambodivoara","Diurnal",2020-12-19,19,12,2020,"1",3,"8H 40M 0S","11H 50M 0S","9H 11M 0S","Propithecus_candidus","Propithecus","candidus","Simpona","3",1,2,1,1,1122,20,25,10,"Alimentation","Vongo(Garcinia decipiens),Vaha kakazo","Vongo(Garcinia decipiens)","","297-301"
"45","0",0,"Ambodivoara","Diurnal",2020-12-19,19,12,2020,"1",3,"14H 7M 0S","16H 20M 0S",NA,NA,NA,NA,NA,"0",0,0,0,0,NA,NA,NA,NA,NA,NA,"","",""
"46","-14.516247",49.429825,"Ambodivoara","Nocturnal",2020-12-19,19,12,2020,"1",2,"18H 23M 0S","20H 14M 0S","19H 21M 0S","Avahi_laniger","Avahi","laniger","Fotsife","1",0,1,0,0,1154,45,6,4,"Repos","","Rotro(Eugenia emirnense)","",""
"47","-14.520224",49.4356,"Ambodivoara","Diurnal",2020-12-20,20,12,2020,"5",2,"8H 28M 0S","12H 53M 0S","9H 9M 0S","Eulemur_rubriventer","Eulemur","rubriventer","Tongono","4",1,3,1,2,1032,20,10,2,"Deplacement","","","",""
"48","0",0,"Ambodivoara","Diurnal",2020-12-20,20,12,2020,"5",2,"14H 23M 0S","16H 57M 0S",NA,NA,NA,NA,NA,"0",0,0,0,0,NA,NA,NA,NA,NA,NA,"","1 trace de P. candidus/dent sur Tapiky(Alt: 1078m)",""
"49","-14.52104",49.43605,"Ambodivoara","Diurnal",2020-12-21,21,12,2020,"2",3,"8H 32M 0S","11H 4M 0S","9H 0M 0S","Eulemur_albifrons","Eulemur","albifrons","Komba","6",1,5,2,3,NA,30,20,10,"Deplacement","","Vongo(Garcinia decipiens)","Point GPS non prise (elevation)a cause nuage de forte pluie, et 1 trace de P. candidus sur tronc de Mankavia fotsy",""
"50","-14.520931",49.431254,"Ambodivoara","Nocturnal",2020-12-21,21,12,2020,"2",4,"18H 34M 0S","20H 11M 0S","18H 51M 0S","Cheirogaleus_crossleyi","Cheirogaleus","crossleyi",NA,"1",0,1,0,0,1109,65,23,20,"Deplacement","","","",""
"51","-14.516677",49.432822,"Ambodivoara","Nocturnal",2020-12-21,21,12,2020,"2",4,"18H 34M 0S","20H 11M 0S","19H 23M 0S","Allocebus_trichotis","Allocebus","trichotis",NA,"1",0,1,0,0,1190,45,6,4,"Repos","","Tsilaitry(Noronhia linearifolia)","",""
"52","-14.519686",49.434362,"Ambodivoara","Nocturnal",2020-12-21,21,12,2020,"2",4,"18H 34M 0S","20H 11M 0S","19H 54M 0S","Microcebus_mittermeieri","Microcebus","mittermeieri","Tsidy","1",0,1,0,0,1086,45,7,5,"Deplacement","","Maintipototra(Diospyros sp)","",""
"53","0",0,"Betaolana","Diurnal",2021-06-07,7,6,2021,"1",1,"7H 20M 0S","10H 55M 0S",NA,NA,NA,NA,NA,"0",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"6 traces de P. candidus sur makaragnana, tsifo, kafeala{Alt: 935m(331),971m(335), 891m(338),889m(339), 996m(342)}; 3 traces de sangulier; 1 trace Aye-aye{Alt: 974m(341)}; 1 trace de zebus{Alt: 966m(332)} ",NA
"54","-14.47236",49.46482,"Betaolana","Nocturnal",2021-06-07,7,6,2021,"1",1,"18H 16M 0S","22H 24M 0S","18H 56M 0S","Allocebus_trichotis","Allocebus","trichotis","Kandrandra","1",0,1,1,0,983,80,4,4,"Au repos + dÃƒÂ©fecation","","Sakoagnala","","72-76"
"55","-14.47084",49.46576,"Betaolana","Nocturnal",2021-06-07,7,6,2021,"1",1,"18H 16M 0S","22H 24M 0S","19H 43M 0S","Allocebus_trichotis","Allocebus","trichotis","Kandrandra","1",0,1,1,0,979,70,5,5,"Au repos","","Tafognana","","83-86"
"56","-14.47011",49.46542,"Betaolana","Nocturnal",2021-06-07,7,6,2021,"1",1,"18H 16M 0S","22H 24M 0S","21H 3M 0S","Cheirogaleus_crossleyi","Cheirogaleus","crossleyi","Tsitsihy","1",0,1,NA,NA,978,90,20,18,"En deplacement","","Piro","",""
"57","-14.4691",49.46482,"Betaolana","Nocturnal",2021-06-07,7,6,2021,"1",1,"18H 16M 0S","22H 24M 0S","21H 32M 0S","Allocebus_trichotis","Allocebus","trichotis","Kandrandra","1",0,1,1,0,989,80,10,10,"en deplacement rapide","","Piro","",""
"58","-14.46915",49.46482,"Betaolana","Nocturnal",2021-06-07,7,6,2021,"1",1,"18H 16M 0S","22H 24M 0S","21H 52M 0S","Lepilemur_seali","Lepilemur","seali","Lebitay","1",0,1,NA,NA,978,70,15,15,"Au repos","","Lalogno mena","","87-92"
"59","-14.472",49.46531,"Betaolana","Diurnal",2021-06-08,8,6,2021,"1",2,"5H 0M 0S","8H 18M 0S","7H 20M 0S","Propithecus_candidus","Propithecus","candidus","Simpona","5",1,4,2,3,950,60,15,15,"Au repos, alimentation","","Lalogno","","93-107"
"60","0",0,"Betaolana","Diurnal",2021-06-08,8,6,2021,"2",1,"9H 48M 0S","11H 58M 0S",NA,NA,NA,NA,NA,"0",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"2 traces de P. candidus sur lalogno{Alt: 1249m(358), 1143m(360)}; 1 trace de sangulier",NA
"61","-14.47847",49.46094,"Betaolana","Nocturnal",2021-06-08,8,6,2021,"2",1,"18H 53M 0S","22H 6M 0S","19H 0M 0S","Allocebus_trichotis","Allocebus","trichotis","Kandrandra","1",0,1,NA,NA,1068,45,20,18,"Au repos","","Rara","","135"
"62","-14.47882",49.46089,"Betaolana","Nocturnal",2021-06-08,8,6,2021,"2",1,"18H 53M 0S","22H 6M 0S","19H 11M 0S","Allocebus_trichotis","Allocebus","trichotis","Kandrandra","1",0,1,NA,NA,1095,80,25,15,"Au repos","","Tavolo","",""
"63","-14.48045",49.45988,"Betaolana","Nocturnal",2021-06-08,8,6,2021,"2",1,"18H 53M 0S","22H 6M 0S","19H 33M 0S","Allocebus_trichotis","Allocebus","trichotis","Kandrandra","1",0,1,NA,NA,1184,75,18,15,"En deplacement","","Haramy madinindravina","",""
"64","-14.48092",49.45931,"Betaolana","Nocturnal",2021-06-08,8,6,2021,"2",1,"18H 53M 0S","22H 6M 0S","19H 44M 0S","Microcebus_mittermeieri","Microcebus","mittermeieri","Tsidy","1",0,1,NA,NA,1215,90,20,20,"Au repos","","Kabokala","","136-137"
"65","-14.4816",49.45861,"Betaolana","Nocturnal",2021-06-08,8,6,2021,"2",1,"18H 53M 0S","22H 6M 0S","19H 59M 0S","Microcebus_mittermeieri","Microcebus","mittermeieri","Tsidy","1",0,1,NA,NA,1244,40,10,20,"Allimantation","","Vapaka","",""
"66","-14.48175",49.45848,"Betaolana","Nocturnal",2021-06-08,8,6,2021,"2",1,"18H 53M 0S","22H 6M 0S","20H 3M 0S","Allocebus_trichotis","Allocebus","trichotis","Kandrandra","1",0,1,NA,NA,1247,60,6,5,"Au repos","","Hafomena","","138-141"
"67","-14.48316",49.45831,"Betaolana","Nocturnal",2021-06-08,8,6,2021,"2",1,"18H 53M 0S","22H 6M 0S","20H 16M 0S","Microcebus_mittermeieri","Microcebus","mittermeieri","Tsidy","1",0,1,NA,NA,1269,45,8,8,"En deplacement","","Kisaka","",""
"68","-14.48207",49.45826,"Betaolana","Nocturnal",2021-06-08,8,6,2021,"2",1,"18H 53M 0S","22H 6M 0S","21H 0M 0S","Lepilemur_seali","Lepilemur","seali","Lebitay","1",0,1,NA,NA,1244,30,20,8,"Au repos","","Tsilaitry","","142-152"
"69","-14.48121",49.45919,"Betaolana","Nocturnal",2021-06-08,8,6,2021,"2",1,"18H 53M 0S","22H 6M 0S","21H 16M 0S","Microcebus_mittermeieri","Microcebus","mittermeieri","Tsidy","1",0,1,NA,NA,1216,85,2,3,"Au repos","","Tsilaitry","","153-156"
"70","-14.48018",49.46021,"Betaolana","Nocturnal",2021-06-08,8,6,2021,"2",1,"18H 53M 0S","22H 6M 0S","21H 34M 0S","Microcebus_mittermeieri","Microcebus","mittermeieri","Tsidy","1",0,1,NA,NA,1166,20,15,2,"En deplacement","","Tsingovatrovatra","",""
"71","-14.48002",49.46041,"Betaolana","Nocturnal",2021-06-08,8,6,2021,"2",1,"18H 53M 0S","22H 6M 0S","21H 44M 0S","Lepilemur_seali","Lepilemur","seali","Lebitay","1",0,1,NA,NA,1252,30,10,10,"Au repos","","Hasina","","157-165"
"72","-14.479",49.46082,"Betaolana","Nocturnal",2021-06-08,8,6,2021,"2",1,"18H 53M 0S","22H 6M 0S","21H 59M 0S","Lepilemur_seali","Lepilemur","seali","Lebitay","1",0,1,NA,NA,1105,80,10,17,"Au repos","","Tafognana","","166-169"
"73","0",0,"Betaolana","Diurnal",2021-06-09,9,6,2021,"3",1,"8H 20M 0S","10H 36M 0S",NA,NA,NA,NA,NA,"0",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"1 trace de P. candidus{Alt: 1234m(380)}; 1 trace de sangulier{ Alt: 1228m(381)}",NA
"74","-14.46813",49.46367,"Betaolana","Diurnal",2021-06-09,9,6,2021,"1",3,"14H 31M 0S","17H 0M 0S","15H 52M 0S","Eulemur_albifrons","Eulemur","albifrons","Komba","2",0,2,1,1,962,69,10,5,"En deplacement","","Trotrokala","",""
"75","-14.4693",49.46497,"Betaolana","Nocturnal",2021-06-09,9,6,2021,"1",2,"18H 0M 0S","20H 10M 0S","18H 35M 0S","Microcebus_mittermeieri","Microcebus","mittermeieri","Tsidy","1",0,1,NA,NA,968,30,4,10,"Au repos","","Rotro","","177"
"76","-14.47089",49.46589,"Betaolana","Nocturnal",2021-06-09,9,6,2021,"1",2,"18H 0M 0S","20H 10M 0S","19H 23M 0S","Allocebus_trichotis","Allocebus","trichotis","Kandrandra","1",0,1,NA,NA,968,30,6,4,"Au repos","","Tafognana madinindravina","","185-187"
"77","-14.47125",49.46548,"Betaolana","Nocturnal",2021-06-09,9,6,2021,"1",2,"18H 0M 0S","20H 10M 0S","19H 33M 0S","Lepilemur_seali","Lepilemur","seali","Lebitay","1",0,1,NA,NA,962,20,7,5,"Allimantation","","Mankavia","","188-190"
"78","-14.47319",49.46438,"Betaolana","Nocturnal",2021-06-09,9,6,2021,"1",2,"18H 0M 0S","20H 10M 0S","19H 56M 0S","Allocebus_trichotis","Allocebus","trichotis","Kandrandra","1",0,1,NA,NA,927,35,25,15,"En deplacement","","Rara","",""
"79","-14.48041",49.45996,"Betaolana","Diurnal",2021-06-10,10,6,2021,"2",2,"6H 19M 0S","8H 16M 0S","6H 40M 0S","Eulemur_albifrons","Eulemur","albifrons","Komba","2",0,2,1,1,1180,80,25,15,"En deplacement","","Kisaka","",NA
"80","0",0,"Betaolana","Diurnal",2021-06-10,10,6,2021,"2",2,"15H 57M 0S","16H 41M 0S",NA,NA,NA,NA,NA,"0",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","-14.48129",49.45903,"Betaolana","Nocturnal",2021-06-10,10,6,2021,"2",2,"17H 53M 0S","19H 40M 0S","18H 40M 0S","Microcebus_mittermeieri","Microcebus","mittermeieri","Tsidy","1",0,1,NA,NA,1217,90,8,8,"Au repos","","Vapaka","","202"
"82","-14.48037",49.45987,"Betaolana","Nocturnal",2021-06-10,10,6,2021,"2",2,"17H 53M 0S","19H 40M 0S","19H 3M 0S","Allocebus_trichotis","Allocebus","trichotis","Kandrandra","1",0,1,1,0,1179,30,1.5,2.5,"Au repos","","Mantaly mena","","203-207"
"83","-14.47902",49.4609,"Betaolana","Nocturnal",2021-06-10,10,6,2021,"2",2,"17H 53M 0S","19H 40M 0S","19H 27M 0S","Allocebus_trichotis","Allocebus","trichotis","Kandrandra","1",0,1,NA,NA,1098,70,10,10,"Au repos","","Tsingovatrovatra","",""
"84","-14.48139",49.4637,"Betaolana","Diurnal",2021-06-11,11,6,2021,"3",2,"15H 2M 0S","17H 0M 0S","15H 27M 0S","Eulemur_albifrons","Eulemur","albifrons","Komba","10",NA,10,NA,NA,1027,70,30,22,"En deplacement","","Famelogno et mankavia","","403-410"
"85","-14.48283",49.45841,"Betaolana","Nocturnal",2021-06-11,11,6,2021,"3",1,"18H 11M 0S","20H 10M 0S","18H 19M 0S","Microcebus_mittermeieri","Microcebus","mittermeieri","Tsidy","1",0,1,NA,NA,1195,60,25,25,"En deplacement","","Angezoko ala","",""
"86","-14.48251",49.46009,"Betaolana","Nocturnal",2021-06-11,11,6,2021,"3",1,"18H 11M 0S","20H 10M 0S","18H 36M 0S","Allocebus_trichotis","Allocebus","trichotis","Kandrandra","1",0,1,NA,NA,1146,80,20,20,"Au repos","","Tavolo madinindravina","",""
"87","-14.4823",49.4604,"Betaolana","Nocturnal",2021-06-11,11,6,2021,"3",1,"18H 11M 0S","20H 10M 0S","18H 41M 0S","Lepilemur_seali","Lepilemur","seali","Lebitay","1",0,1,NA,NA,1160,40,15,10,"Au repos","","Haramy","","411-412"
"88","-14.48224",49.46078,"Betaolana","Nocturnal",2021-06-11,11,6,2021,"3",1,"18H 11M 0S","20H 10M 0S","18H 57M 0S","Avahi_laniger","Avahi","laniger","Fotsife","2",0,2,1,1,1130,50,25,25,"Au repos","","Taolagna omby","","413-426"
"89","-14.48221",49.46108,"Betaolana","Nocturnal",2021-06-11,11,6,2021,"3",1,"18H 11M 0S","20H 10M 0S","19H 5M 0S","Lepilemur_seali","Lepilemur","seali","Lebitay","1",0,1,NA,NA,1119,45,10,5,"Au repos","","Tsilaitry","","427-433"
"90","-14.47834",49.46563,"Betaolana","Nocturnal",2021-06-11,11,6,2021,"3",1,"18H 11M 0S","20H 10M 0S","20H 0M 0S","Avahi_laniger","Avahi","laniger","Fotsife","3",0,3,NA,NA,984,30,25,10,"Au repos","","Rotro","","434-450"
"91","-14.47834",49.46563,"Betaolana","Nocturnal",2021-06-11,11,6,2021,"3",1,"18H 11M 0S","20H 10M 0S","20H 2M 0S","Microcebus_mittermeieri","Microcebus","mittermeieri","Tsidy","1",0,1,NA,NA,984,30,8,4,"Au repos","","Lingoza","","451"
"92","-14.47799",49.46556,"Betaolana","Nocturnal",2021-06-11,11,6,2021,"3",1,"18H 11M 0S","20H 10M 0S","20H 6M 0S","Microcebus_mittermeieri","Microcebus","mittermeieri","Tsidy","1",0,1,NA,NA,977,20,4,2,"En deplacement","","Arongana","",""
