"","Elevation","CanopyHeight","Ruggedness","ForestCover","ForestLoss","SiteTransect","ForestLossProp","Species"
"1",1162.92737430168,20.9014084507042,25.5059855956605,179,0,"Ambavala_1",0,"Microcebus_lehilahytsara"
"2",1112.84920634921,22.4935897435897,26.7528803651295,128,0,"Ambavala_2",0,"Microcebus_lehilahytsara"
"3",1070.20394736842,22.8670212765957,21.9641289083581,154,2,"Ambavala_3",0.012987012987013,"Microcebus_lehilahytsara"
"4",1195.05072463768,25.8531073446328,23.6927102268606,142,0,"Ambodihasina_1",0,"Microcebus_lehilahytsara"
"5",1190.12578616352,25.4690721649485,22.1632715621084,162,0,"Ambodihasina_2",0,"Microcebus_lehilahytsara"
"6",1097.65151515152,23.8101265822785,24.1698848478722,130,2,"Ambodihasina_3",0.0153846153846154,"Microcebus_lehilahytsara"
"7",1129.78333333333,22.0755555555556,34.9099278979831,180,0,"Ambodimandresy_1",0,"Microcebus_lehilahytsara"
"8",1091.3904109589,22.8659217877095,40.1864630555453,146,0,"Ambodimandresy_2",0,"Microcebus_lehilahytsara"
"9",1061.37777777778,24.9955947136564,29.2753374523587,182,0,"Ambodimandresy_3",0,"Microcebus_lehilahytsara"
"10",1163.42929292929,24.092050209205,34.7205917281334,201,7,"Ambodivoara_1",0.0348258706467662,"Microcebus_lehilahytsara"
"11",1126.02424242424,24.27,41.053086234584,168,0,"Ambodivoara_2",0,"Microcebus_lehilahytsara"
"12",1157.77319587629,25.831223628692,31.7483194562578,195,5,"Ambodivoara_3",0.0256410256410256,"Microcebus_lehilahytsara"
"13",1127.95833333333,22.0775862068966,34.3493218918642,196,11,"Ambodivoara_4",0.0561224489795918,"Microcebus_lehilahytsara"
"14",1050.74576271186,24.6551724137931,32.7426745325832,116,0,"Ambodivoara_5",0,"Microcebus_lehilahytsara"
"15",1083.53703703704,18.4503816793893,23.4824887602418,108,0,"AmbodivohitraKobahina_1",0,"Microcebus_lehilahytsara"
"16",1122.62411347518,23.6590909090909,24.4886153234658,144,0,"AmbodivohitraKobahina_2",0,"Microcebus_lehilahytsara"
"17",1076.375,23.5368421052632,18.9968769581694,158,0,"AmbodivohitraKobahina_3",0,"Microcebus_lehilahytsara"
"18",1162.59047619048,20.6023166023166,21.9852589448293,216,1,"Androfiabe_1",0.00462962962962963,"Microcebus_lehilahytsara"
"19",1162.1935483871,20.7228464419476,20.053611944348,219,0,"Androfiabe_2",0,"Microcebus_lehilahytsara"
"20",1078.63106796116,22.4377510040161,26.8516944450082,205,0,"Androfiabe_3",0,"Microcebus_lehilahytsara"
"21",1191.91176470588,23.7030303030303,32.2136972581639,135,0,"Antanambe_1",0,"Microcebus_lehilahytsara"
"22",1114.34319526627,24.6507177033493,25.9472138458455,162,2,"Antanambe_2",0.0123456790123457,"Microcebus_lehilahytsara"
"23",1146.66341463415,21.6640625,33.9116025505996,210,4,"Antanambe_3",0.019047619047619,"Microcebus_lehilahytsara"
"24",1237.96153846154,21.36875,29.1771003136268,118,0,"Befamatra_1",0,"Microcebus_lehilahytsara"
"25",1231.87128712871,27,33.0448133827436,101,0,"Befamatra_2",0,"Microcebus_lehilahytsara"
"26",1401.73786407767,24.5692307692308,29.1837664946769,105,0,"Befamatra_3",0,"Microcebus_lehilahytsara"
"27",976.718309859155,21.5862068965517,29.88221633938,139,0,"Betaolana_1",0,"Microcebus_lehilahytsara"
"28",1158.59398496241,20.8787878787879,36.6418761489983,138,4,"Betaolana_2",0.0289855072463768,"Microcebus_lehilahytsara"
"29",1079.02617801047,25.1383928571429,24.618576371857,190,0,"Betaolana_3",0,"Microcebus_lehilahytsara"
"30",1135.6734006734,22.2241847826087,25.4047312024065,1203,0,"Ambavala_1",0,"Propithecus_candidus"
"31",1120.47770700637,21.5059931506849,24.1216379201589,951,7,"Ambavala_2",0.00736067297581493,"Propithecus_candidus"
"32",1082.35216572505,21.4167300380228,22.342545710041,1043,40,"Ambavala_3",0.0383509108341323,"Propithecus_candidus"
"33",1185.1427184466,25.0967741935484,22.8911791926449,1036,10,"Ambodihasina_1",0.00965250965250965,"Propithecus_candidus"
"34",1191.7393715342,25.2114668652271,23.1161453512372,1095,2,"Ambodihasina_2",0.00182648401826484,"Propithecus_candidus"
"35",1106.15408479835,23.9715242881072,23.1280740399642,960,27,"Ambodihasina_3",0.028125,"Propithecus_candidus"
"36",1131.55419722901,21.4781746031746,35.6145621690696,1240,7,"Ambodimandresy_1",0.00564516129032258,"Propithecus_candidus"
"37",1075.31291866029,24.1045701006971,37.321420200932,1057,7,"Ambodimandresy_2",0.00662251655629139,"Propithecus_candidus"
"38",1099.17715231788,23.8013377926421,37.7947986481205,1222,3,"Ambodimandresy_3",0.00245499181669394,"Propithecus_candidus"
"39",1167.71730300569,24.3189259986902,36.5753677973991,1247,25,"Ambodivoara_1",0.0200481154771451,"Propithecus_candidus"
"40",1118.38395415473,23.1667953667954,37.7736728767498,1062,35,"Ambodivoara_2",0.0329566854990584,"Propithecus_candidus"
"41",1148.73801369863,24.8002773925104,32.5050751305606,1182,26,"Ambodivoara_3",0.0219966159052453,"Propithecus_candidus"
"42",1126.28975853455,23.5114093959732,33.3748194375304,1220,34,"Ambodivoara_4",0.0278688524590164,"Propithecus_candidus"
"43",1086.66741321389,23.7170154686079,36.6019938902519,899,20,"Ambodivoara_5",0.0222469410456062,"Propithecus_candidus"
"44",1087.08432304038,21.9146110056926,23.5546701566057,864,0,"AmbodivohitraKobahina_1",0,"Propithecus_candidus"
