"","Buffer2020","PA2020","Buffer2050","PA2050","LossInPA","TotalLoss"
"Albi",20406.6382362086,10927.3109515201,15323.0884251597,8235.54093373297,24.6334164894677,24.9112556032327
"allo",35219.2579654884,15840.388606309,14523.4722029418,7337.02416184183,53.681539359965,58.7626967689851
"cheiro",212704.067060068,102069.226878366,123313.814038464,63781.4176273285,37.5116089560122,42.0256435418135
"avahi",30690.1253634848,14177.6233122447,17470.4903786229,8693.44713353305,38.6819148592779,43.0745551811617
"hapa",309.102436585364,132.31724758039,11.7423208470629,6.65355212595353,94.9715156205081,96.2011555208753
"lepi",29969.9077618525,14342.5988054095,18543.7697752701,9394.78085254945,34.497360066949,38.1253692116005
"micro",74937.2480797536,37011.2174653838,47873.2881580668,25078.9840158975,32.2395053895389,36.1154974531269
"prop",1683.77888548563,794.687406015058,972.640907150321,471.815538668697,40.6287887416506,42.2346416424035
"rubri",5814.20620835908,2632.10323722534,1255.78149401354,712.372748547935,72.9352276737105,78.4014971431852
